C Modified,Time,Heat Number,Item Name,Batch Name,Pouring Status,Furnace Size,Furnace ID,Steel Values,Casting Grade,C,Si,Mn,P,S,Cr,Ni,Al,Mg,CE,Sug. C in Kg,Sug. Si in Kg,Sug Mn in Kg,Sug. P in Kg,Sug. S in Kg,Sug. Cr in Kg,Sug. Cu in Kg,Sug. Fe in Kg
,03-03-2022 15:53,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,03-03-2022 16:25,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,03-03-2022 16:25,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,03-03-2022 16:26,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,03-03-2022 16:26,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,03-03-2022 16:27,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,03-03-2022 16:50,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
C Modified,Time,Heat Number,Item Name,Batch Name,Pouring Status,Furnace Size,Furnace ID,Steel Values,Casting Grade,C,Si,Mn,P,S,Cr,Ni,Al,Mg,CE,Sug. C in Kg,Sug. Si in Kg,Sug Mn in Kg,Sug. P in Kg,Sug. S in Kg,Sug. Cr in Kg,Sug. Cu in Kg,Sug. Fe in Kg
,04-03-2022 16:39,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,04-03-2022 16:42,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,04-03-2022 16:53,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,04-03-2022 16:59,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,04-03-2022 17:00,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,04-03-2022 17:03,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
C Modified,Time,Heat Number,Item Name,Batch Name,Pouring Status,Furnace Size,Furnace ID,Steel Values,Casting Grade,C,Si,Mn,P,S,Cr,Ni,Al,Mg,CE,Sug. C in Kg,Sug. Si in Kg,Sug Mn in Kg,Sug. P in Kg,Sug. S in Kg,Sug. Cr in Kg,Sug. Cu in Kg,Sug. Fe in Kg
,08-03-2022 15:41,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,08-03-2022 15:47,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,08-03-2022 15:53,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,08-03-2022 15:56,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
**,08-03-2022 15:58,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.3,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
**,08-03-2022 15:58,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.5,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
**,08-03-2022 15:58,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,9,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
**,08-03-2022 15:58,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,5,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
C Modified,Time,Heat Number,Item Name,Batch Name,Pouring Status,Furnace Size,Furnace ID,Steel Values,Casting Grade,C,Si,Mn,P,S,Cr,Ni,Al,Mg,CE,Sug. C in Kg,Sug. Si in Kg,Sug Mn in Kg,Sug. P in Kg,Sug. S in Kg,Sug. Cr in Kg,Sug. Cu in Kg,Sug. Fe in Kg
,10-03-2022 15:10,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,10-03-2022 15:10,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,10-03-2022 15:21,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,10-03-2022 15:22,16(31A22),ID343795-F,CI-CPC,Final,500,,3TB110,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,10.04,,3.71,0.58,1.13,1.2,7.81,
,10-03-2022 15:23,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,10-03-2022 15:43,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,10-03-2022 15:43,16(31A22),ID343795-F,CI-CPC,Final,500,,3TB110,SG400/15 ,2.344,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,10.04,,3.71,0.58,1.13,1.2,7.81,
**,10-03-2022 15:45,16(31A22),ID343795-F,CI-CPC,Final,500,,3TB110,SG400/15 ,4,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,0.72,3.71,0.58,1.13,1.2,0,31.25
**,10-03-2022 15:45,16(31A22),ID343795-F,CI-CPC,Final,500,,3TB110,SG400/15 ,3.75,2.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,3.71,0.58,1.13,1.2,0,
,10-03-2022 15:48,16(31A22),ID343795-F,CI-CPC,Final,500,,3TB110,SG400/15 ,2.344,1.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,10.04,7.28,3.71,0.58,1.13,1.2,7.81,
,10-03-2022 15:49,16(31A22),ID343795-F,CI-CPC,Final,500,,3TB110,SG400/15 ,4.344,3.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,5.51,,3.71,0.58,1.13,1.2,0,157.13
,10-03-2022 15:49,16(31A22),ID343795-F,CI-CPC,Final,500,,3TB110,SG400/15 ,8.344,3.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,6.1,3.71,0.58,1.13,1.2,0,275.29
,10-03-2022 15:58,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,8.344,3.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,10-03-2022 16:07,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,8.344,3.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,10-03-2022 16:09,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,8.344,3.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,10-03-2022 17:17,16(31A22),ID343795-B,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,8.344,3.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,10-03-2022 17:17,16(31A22),ID343795-B,CI-CPC,Bath,500,,3TB110,SG400/15 ,8.344,3.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,1.02,,1.83,0,0,0,0,283.84
,10-03-2022 17:18,16(31A22),ID343795-F,CI-CPC,Final,500,,3TB110,SG400/15 ,8.344,3.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,6.1,3.71,0.58,1.13,1.2,0,275.29
,10-03-2022 17:18,16(31A22),ID343795-B,CI-CPC,Bath,500,,3TB110,SG400/15 ,8.344,3.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,1.02,,1.83,0,0,0,0,283.84
,10-03-2022 17:19,16(31A22),ID343795-F,CI-CPC,Final,500,,3TB110,SG400/15 ,8.344,3.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,6.1,3.71,0.58,1.13,1.2,0,275.29
,10-03-2022 17:21,16(31A22),ID343795-B,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,8.344,3.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,10-03-2022 17:21,16(31A22),ID343795-F,Select Batch,Final,500,,Select Steel Values,SG400/15 ,8.344,3.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,10-03-2022 17:22,16(31A22),ID343795-B,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,8.344,3.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
C Modified,Time,Heat Number,Item Name,Batch Name,Pouring Status,Furnace Size,Furnace ID,Steel Values,Casting Grade,C,Si,Mn,P,S,Cr,Ni,Al,Mg,CE,Sug. C in Kg,Sug. Si in Kg,Sug Mn in Kg,Sug. P in Kg,Sug. S in Kg,Sug. Cr in Kg,Sug. Cu in Kg,Sug. Fe in Kg
,15-03-2022 14:42,16(31A22),ID343795-B,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,8.344,3.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
,15-03-2022 16:36,16(31A22),ID343795-B,Select Batch,Bath,500,,Select Steel Values,SG400/15 ,8.344,3.354,0.305,0.021,0.005,0.006,0.017,0.012,0.054,4.036,,,,,,,,
